pedido_id;data;produto;categoria;quantidade;valor_unitario;canal
P10000;2026-01-27;Jaqueta corta-vento;vestuario;3;219.90;loja
P10001;04/02/2026;Calça jeans;vestuario;5;129,90;loja
P10002;20/06/2026;Camiseta básica;vestuario;5;49,90;loja
P10003;17/4/2026;Meia kit 3;vestuario;1;24.50;site
P10004;2026-06-24;Camiseta básica;  vestuario ;3;49,90;site
P10005;2026-04-28;Meia kit 3;vestuario;1;24.50;marketplace
P10006;9/1/2026;Calça jeans;vestuario;3;129.90;site
P10007;16/01/2026;Boné aba reta;acessorios;5;R$ 59,90;loja
P10008;21/05/2026;Tênis corrida;CALCADOS;4;299,00;site
P10009;2026-01-13;Chinelo slide;calcados;1;39,90;marketplace
P10010;17/1/2026;Calça jeans;vestuario;3;R$ 129,90;loja
P10011;20/6/2026;Tênis corrida;calcados;5;299.00;marketplace
P10012;4/5/2026;Chinelo slide;calcados;1;39,90;site
P10013;2026-01-18;Jaqueta corta-vento;vestuario;5;R$ 219,90;loja
P10014;23/1/2026;CAMISETA BÁSICA;VESTUARIO;5;49,90;site
P10015;24/06/2026;Camiseta básica
P10016;13/01/2026;Bermuda tactel;vestuario;2;69,90;loja
P10017;27/2/2026;Jaqueta corta-vento;  vestuario ;3;219,90;marketplace
P10018;2026-03-05;Tênis corrida;calcados;1;R$ 299,00;marketplace
P10019;13/02/2026;Mochila urbana;acessorios;3;189,00;loja
P10020;12-04-26;Boné aba reta;acessorios;5;59.90;marketplace
P10021;2026-04-25;Bermuda tactel;vestuario;3;R$ 69,90;site
P10022;13/6/2026;Calça jeans;VESTUARIO;4;129,90;loja
P10023;11/05/2026;Bermuda tactel;vestuario;4;69.90;marketplace
P10024;2026-05-01;Calça jeans;VESTUARIO;3;129.90;loja
P10025;2026-06-21;Calça jeans;vestuario;1;129,90;loja
P10026;8/1/2026;Mochila urbana;ACESSORIOS;4;189,00;loja
P10027;01/02/2026;Boné aba reta;acessorios;3;59,90;marketplace
P10028;24-06-26;Jaqueta corta-vento;vestuario;5;219,90;marketplace
P10029;11-03-26;Óculos de sol;acessorios;2;149.00;site
P10030;2026-03-15;Chinelo slide;calcados;1;R$ 39,90;marketplace
P10031;24-04-26;Meia kit 3;vestuario;4;R$ 24,50;loja
P10032;2026-06-17;Calça jeans;vestuario;4;129,90;site
P10033;02-01-26;Mochila urbana;acessorios;3;189.00;loja
P10034;11/1/2026;Mochila urbana;acessorios;3;189.00;site
P10035;5/6/2026;ÓCULOS DE SOL;acessorios;2;R$ 149,00;marketplace
P10036;2026-02-10;Tênis corrida;calcados;3;299,00;site
P10037;2026-01-19;Mochila urbana;acessorios;5;189,00;marketplace
P10038;17-02-26;Óculos de sol;acessorios;3;149,00;site

P10039;2026-05-21;Meia kit 3;  vestuario ;1;24,50;site
P10040;16/03/2026;JAQUETA CORTA-VENTO;vestuario;1;219,90;marketplace
P10041;09/02/2026;Boné aba reta;acessorios;2;59,90;loja
P10042;4/6/2026;Jaqueta corta-vento;vestuario;2;219,90;loja
P10043;2026-01-26;CHINELO SLIDE;calcados;2;39,90;marketplace
P10044;16/3/2026;Boné aba reta;acessorios;2;R$ 59,90;site
P10045;11/3/2026;Calça jeans;vestuario;4;R$ 129,90;loja
P10046;2026-04-17;Bermuda tactel;vestuario;1;R$ 69,90;loja
P10047;2026-02-23;Óculos de sol;ACESSORIOS;5;149.00;site
P10048;24/04/2026;Calça jeans;vestuario;2;129,90;loja
P10049;23/03/2026;Bermuda tactel;vestuario;3;69,90;loja
P10050;02/06/2026;Calça jeans;vestuario;2;129.90;marketplace
P10051;16/03/2026;Camiseta básica;VESTUARIO;2;49,90;marketplace
P10052;01-01-26;Boné aba reta;acessorios;5;59,90;marketplace
P10053;06-04-26;Camiseta básica;vestuario;5;49.90;loja
P10054;05/06/2026;Óculos de sol;acessorios;1;R$ 149,00;loja
P10055;07-01-26;Mochila urbana;acessorios;5;189,00;site
P10056;8/1/2026;Camiseta básica;  vestuario ;5;R$ 49,90;marketplace
P10057;06-03-26;Boné aba reta;acessorios;3;R$ 59,90;loja
P10058;24/06/2026;Mochila urbana;acessorios;4;189,00;loja
P10059;16/5/2026;Meia kit 3;vestuario;1;24,50;loja
P10060;22/03/2026;Camiseta básica;  vestuario ;3;49.90;marketplace
P10061;5/5/2026;Calça jeans;VESTUARIO;1;129,90;site
P10062;22-05-26;Óculos de sol;  acessorios ;1;149.00;loja
P10063;16-06-26;Bermuda tactel;vestuario;4;69,90;loja
P10064;13/1/2026;Tênis corrida;  calcados ;3;299.00;site
P10065;2/4/2026;Boné aba reta;  acessorios ;2;59,90;site
P10066;21/1/2026;Jaqueta corta-vento;vestuario;2;219.90;marketplace
P10067;2026-06-17;Camiseta básica;  vestuario ;2;49,90;marketplace
P10068;05/06/2026;Tênis corrida;calcados;1;299,00;loja
P10069;15-06-26;Bermuda tactel;vestuario;3;69.90;marketplace
P10019;13/02/2026;Mochila urbana;acessorios;3;189,00;loja
P10070;28/5/2026;Boné aba reta;acessorios;2;R$ 59,90;loja
P10071;2026-06-15;Boné aba reta;ACESSORIOS;5;59.90;marketplace
P10072;15/2/2026;Calça jeans;vestuario;1;R$ 129,90;site
P10073;16/3/2026;CALÇA JEANS;VESTUARIO;4;129.90;loja
P10074;24/2/2026;Calça jeans;vestuario;5;129,90;loja
P10075;9/5/2026;Bermuda tactel;vestuario;5;69,90;marketplace
P10076;23/6/2026;Bermuda tactel;  vestuario ;1;69,90;site
P10077;24-06-26;Mochila urbana;acessorios;4;R$ 189,00;site
P10078;2026-04-21;Mochila urbana;acessorios;5;189,00;loja
P10079;01-01-26;Meia kit 3;VESTUARIO;2;24.50;marketplace
P10080;08-05-26;Tênis corrida;calcados;5;R$ 299,00;site
P10081;2026-02-23;Meia kit 3;vestuario;5;R$ 24,50;site
P10082;2026-02-01;Chinelo slide;calcados;2;R$ 39,90;site
P10083;20/4/2026;Camiseta básica;VESTUARIO;5;49,90;site
P10084;2026-03-08;Óculos de sol;acessorios;4;149.00;marketplace
P10085;02/05/2026;Tênis corrida;calcados;1;299,00;site
P10086;2026-06-26;Meia kit 3;  vestuario ;5;24.50;marketplace
P10087;27-02-26;TÊNIS CORRIDA;calcados;2;299,00;marketplace
P10088;2026-06-26;Óculos de sol;acessorios;1;149,00;loja
P10089;14-05-26;Jaqueta corta-vento;vestuario;4;219,90;marketplace
P10090;28/6/2026;Camiseta básica;vestuario;3;R$ 49,90;loja
P10091;06/02/2026;Chinelo slide;calcados;3;R$ 39,90;site
P10092;8/1/2026;Boné aba reta;acessorios;1;R$ 59,90;loja
P10093;22/02/2026;Chinelo slide;calcados;2;39,90;marketplace
P10094;10/05/2026;Calça jeans;  vestuario ;5;129,90;site
P10095;2026-03-25;Camiseta básica;VESTUARIO;5;49,90;site
P10096;2026-04-25;Boné aba reta;ACESSORIOS;2;59.90;loja
P10097;21/5/2026;Bermuda tactel;vestuario;2;69,90;marketplace
P10098;19/06/2026;Bermuda tactel;vestuario;5;69,90;site
